"No","Title_en","OctetNo","Contents_en","Note_en","Status"
544.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
545.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
546.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
547.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
548.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
549.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
550.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","35","Forecast probability number",,"Operational"
551.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","36","Total number of forecast probabilities",,"Operational"
552.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","37","Probability type","(see Code table 4.9)","Operational"
553.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","38","Scale factor of lower limit",,"Operational"
554.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","39-42","Scaled value of lower limit",,"Operational"
555.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","43","Scale factor of upper limit",,"Operational"
556.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","44-47","Scaled value of upper limit",,"Operational"
557.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
558.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
559.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
560.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
561.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
562.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
563.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
564.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
565.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
566.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
567.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
568.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
569.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
570.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
571.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
572.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","35","Percentile value (from 100% to 0%)",,"Operational"
573.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
574.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
575.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
576.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
577.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
578.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note 1)","Operational"
579.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
580.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
581.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
582.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
583.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
584.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
585.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
586.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
587.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
588.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)","Operational"
589.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)","Operational"
590.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)","Operational"
591.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
592.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
593.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cut-off","(see Note 1)","Operational"
594.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cut-off",,"Operational"
595.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
596.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)","Operational"
597.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)","Operational"
598.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
599.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
600.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)","Operational"
601.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
602.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
603.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35-36","Year - time of end of overall time interval",,"Operational"
604.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Month - time of end of overall time interval",,"Operational"
605.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Day - time of end of overall time interval",,"Operational"
606.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Hour - time of end of overall time interval",,"Operational"
607.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Minute - time of end of overall time interval",,"Operational"
608.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Second - time of end of overall time interval",,"Operational"
609.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","n - number of time range specifications describing the time intervals used to calculate the statistically processed field",,"Operational"
610.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43-46","Total number of data values missing in statistical process",,"Operational"
611.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"47-58   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
612.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","47","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)","Operational"
613.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)","Operational"
614.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)","Operational"
615.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50-53","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
616.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)","Operational"
617.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55-58","Time increment between successive fields, in units defined by the previous octet","(see Notes 3 and 4)","Operational"
618.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"59-nn   These octets are included only if n > 1, where nn = 46 + 12 x n",,"Operational"
619.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","59-70","As octets 47 to 58, next innermost step of processing",,"Operational"
620.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","71-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 47 to 58, repeated as necessary",,"Operational"
621.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)","Operational"
622.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)","Operational"
623.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)","Operational"
624.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
625.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
626.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cut-off","(see Note 1)","Operational"
627.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cut-off",,"Operational"
628.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
629.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)","Operational"
630.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)","Operational"
631.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
632.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
633.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)","Operational"
634.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
635.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
636.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Forecast probability number",,"Operational"
637.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36","Total number of forecast probabilities",,"Operational"
638.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Probability type","(see Code table 4.9)","Operational"
639.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Scale factor of lower limit",,"Operational"
640.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39-42","Scaled value of lower limit",,"Operational"
641.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","Scale factor of upper limit",,"Operational"
642.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Scaled value of upper limit",,"Operational"
643.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48-49","Year of end of overall time interval",,"Operational"
644.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Month of end of overall time interval",,"Operational"
645.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51","Day of end of overall time interval",,"Operational"
646.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","52","Hour of end of overall time interval",,"Operational"
647.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","53","Minute of end of overall time interval",,"Operational"
648.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Second of end of overall time interval",,"Operational"
649.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","n - number of time range specifications describing the time intervals used to calculate the statistically processed field",,"Operational"
650.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Total number of data values missing in the statistical process",,"Operational"
651.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-71   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
652.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)","Operational"
653.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","61","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)","Operational"
654.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","62","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)","Operational"
655.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","63-66","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
656.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","67","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)","Operational"
657.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","68-71","Time increment between successive fields, in units defined by the previous octet","(see Note 3)","Operational"
658.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"72-nn   These octets are included only if n > 1, where nn = 59 + 12 x n",,"Operational"
659.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-83","As octets 60 to 71, next innermost step of processing",,"Operational"
660.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","84-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 60 to 71, repeated as necessary.",,"Operational"
661.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)","Experimental"
662.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)","Experimental"
663.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)","Experimental"
664.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Experimental"
665.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Experimental"
666.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cut-off","(see Note 1)","Experimental"
667.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time for data cut-off",,"Experimental"
668.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)","Experimental"
669.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by previous octet","(see Note 2)","Experimental"
670.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)","Experimental"
671.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Experimental"
672.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Experimental"
673.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)","Experimental"
674.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Experimental"
675.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Experimental"
676.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Percentile value (from 100% to 0%)",,"Experimental"
677.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36-37","Year of end of overall time interval",,"Experimental"
678.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Month of end of overall time interval",,"Experimental"
679.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Day of end of overall time interval",,"Experimental"
680.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Hour of end of overall time interval",,"Experimental"
681.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Minute of end of overall time interval",,"Experimental"
682.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","Second of end of overall time interval",,"Experimental"
683.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","n - number of time range specifications describing the time intervals used to calculate the statistically processed field",,"Experimental"
684.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Total number of data values missing in the statistical process",,"Experimental"
685.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"48-59   Specification of the outermost (or only) time range over which statistical processing is done",,"Experimental"
686.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)","Experimental"
687.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)","Experimental"
688.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)","Experimental"
689.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51-54","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Experimental"
690.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)","Experimental"
691.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Time increment between successive fields, in units defined by the previous octet","(see Note 3)","Experimental"
692.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-nn   These octets are included only if n > 1, where nn = 47 + 12 x n",,"Experimental"
693.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60-71","As octets 48-59, next innermost step of processing",,"Experimental"
694.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 48 to 59, repeated as necessary.",,"Experimental"
695.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)","Operational"
696.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)","Operational"
697.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)","Operational"
698.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
699.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
700.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cut-off","(see Note 1)","Operational"
701.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cut-off",,"Operational"
702.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
703.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)","Operational"
704.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)","Operational"
705.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
706.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
707.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)","Operational"
708.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
709.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
710.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Type of ensemble forecast","(see Code table 4.6)","Operational"
711.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36","Perturbation number",,"Operational"
