Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Fixed surface types and units,,0,,Reserved,,,,Operational
Fixed surface types and units,,1,,Ground or water surface,,,-,Operational
Fixed surface types and units,,2,,Cloud base level,,,-,Operational
Fixed surface types and units,,3,,Level of cloud tops,,,-,Operational
Fixed surface types and units,,4,,Level of 0 °C isotherm,,,-,Operational
Fixed surface types and units,,5,,Level of adiabatic condensation lifted from the surface,,,-,Operational
Fixed surface types and units,,6,,Maximum wind level,,,-,Operational
Fixed surface types and units,,7,,Tropopause,,,-,Operational
Fixed surface types and units,,8,,Nominal top of the atmosphere,,,-,Operational
Fixed surface types and units,,9,,Sea bottom,,,-,Operational
Fixed surface types and units,,10,,Entire atmosphere,,,-,Operational
Fixed surface types and units,,11,,Cumulonimbus (CB) base,,,m,Operational
Fixed surface types and units,,12,,Cumulonimbus (CB) top,,,m,Operational
Fixed surface types and units,,13,,Lowest level where vertically integrated cloud cover exceeds the specified percentage (cloud base for a given percentage cloud cover),,,%,Operational
Fixed surface types and units,,14,,Level of free convection (LFC),,,-,Operational
Fixed surface types and units,,15,,Convective condensation level (CCL),,,-,Operational
Fixed surface types and units,,16,,Level of neutral buoyancy or equilibrium level (LNB),,,-,Operational
Fixed surface types and units,,17,,Departure level of the most unstable parcel of air (MUDL),,,-,Operational
Fixed surface types and units,,18,,Departure level of a mixed layer parcel of air with specified layer depth,,,Pa,Operational
Fixed surface types and units,,19,,Reserved,,,,Operational
Fixed surface types and units,,20,,Isothermal level,,,K,Operational
Fixed surface types and units,,21,,Lowest level where mass density exceeds the specified value (base for a given threshold of mass density),,,kg m-3,Operational
Fixed surface types and units,,22,,Highest level where mass density exceeds the specified value (top for a given threshold of mass density),,,kg m-3,Operational
Fixed surface types and units,,23,,Lowest level where air concentration exceeds the specified value (base for a given threshold of air concentration),,,Bq m-3,Operational
Fixed surface types and units,,24,,Highest level where air concentration exceeds the specified value (top for a given threshold of air concentration),,,Bq m-3,Operational
Fixed surface types and units,,25,,Highest level where radar reflectivity exceeds the specified value (echo top for a given threshold of reflectivity),,,dBZ,Operational
Fixed surface types and units,,26,,Convective cloud layer base,,,m,Operational
Fixed surface types and units,,27,,Convective cloud layer top,,,m,Operational
Fixed surface types and units,,28-29,,Reserved,,,,Operational
Fixed surface types and units,,30,,Specified radius from the center of the Sun,,,m,Operational
Fixed surface types and units,,31,,Solar photosphere,,,,Operational
Fixed surface types and units,,32,,Ionospheric D-region level,,,,Operational
Fixed surface types and units,,33,,Ionospheric E-region level,,,,Operational
Fixed surface types and units,,34,,Ionospheric F1-region level,,,,Operational
Fixed surface types and units,,35,,Ionospheric F2-region level,,,,Operational
Fixed surface types and units,,36-99,,Reserved,,,,Operational
Fixed surface types and units,,100,,Isobaric surface,,,Pa,Operational
Fixed surface types and units,,101,,Mean sea level,,,,Operational
