Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",12-13,Input process identifier,(see Note 1),82,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",14-15,Input originating centre,(see Common Code table C-11 and Note 2),81,CCT-11,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",16,Type of post-processing,(see Note 3),126,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",17,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",18,Background generating process identifier (defined by originating centre),,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",19,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",20-21,Hours after reference time of data cut-off,(see Note 4),33,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",22,Minutes after reference time for data cut-off,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",23,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",24-27,Forecast time in units defined by previous octet,(see Note 5),111,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",28,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",29,Scale factor of first fixed surface,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",30-33,Scaled value of first fixed surface,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",34,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",35,Scale factor of second fixed surface,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",36-39,Scaled value of second fixed surface,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",40-41, Total number of quantiles (q),,,,,Operational 
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",42-43, Quantile value (between 0 and q),,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",44-45,Year of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",46,Month of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",47,Day of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",48,Hour of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",49,Minute of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",50,Second of end of overall time interval,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",51,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",52-55,Total number of data values missing in the statistical process,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,56-67 Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",56+(nt-1)*12,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",57+(nt-1)*12,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",58+(nt-1)*12,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(59+(nt-1)*12) - (62+(nt-1)*12),Length of the time range over which statistical processing is done in units defined by the previous octet,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",63+(nt-1)*12,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(64+(nt-1)*12) - (67+(nt-1)*12),Time increment between successive fields in units defined by the previous octet,(see Note 6),7,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",68+(NT-1)*12,Type of reference dataset,(see Code table 4.100),,4.100,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",69+(NT-1)*12,Type of relation to reference dataset,(see Code table 4.101),,4.101,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",70+(NT-1)*12,Number of additional parameter for reference period - NA,(see Note 2),164,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,The next two entries are repeated NA times na=0:NA - can be 0 times if no parameters are necessary,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",71+(NT-1)*12+(na-1)*5,Scale factor of additional parameter for reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(72+(NT-1)*12+(na-1)*5)-(75+(NT-1)*12+(na-1)*5),Scaled value of additional parameter for reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,End of repeated NA sequence,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(71+(NT-1)*12+NA*5)-(72+(NT-1)*12+NA*5),Year of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",73+(NT-1)*12+NA*5,Month of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",74+(NT-1)*12+NA*5,Day of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",75+(NT-1)*12+NA*5,Hour of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",76+(NT-1)*12+NA*5,Minute of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",77+(NT-1)*12+NA*5,Second of start of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(78+(NT-1)*12+NA*5)-(81+ (NT-1)*12+NA*5),Sample size of reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",82+(NT-1)*12+NA*5,Number of reference period time range - NR,(see Note 3),165,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,The next three entries are repeated NR times nr=1:NR,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",83+(NT-1)*12+NA*5+(nr-1)*6,Type of statistical processing for time range for reference period,(see Code table 4.102),,4.102,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",84+(NT-1)*12+NA*5+(nr-1)*6,Indicator of unit of time range for reference period,(see Code table 4.4),,4.4,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",(85+(NT-1)*12+NA*5+(nr-1)*6)-(88+(NT-1)*12+NA*5+(nr-1)*6),Length of time range for reference period,,,,,Operational
"Post-processed quantile forecasts of anomalies, significance and other derived products in relation to a reference period at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,End of repeated NR sequence,,,,,Operational
