Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",13,Background generating process identifier (defined by originating centre),,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",14,Forecast generating process identifier (defined by originating centre),,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",15-16,Hours after reference time of data cut-off,(see Note 1),33,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",17,Minutes after reference time of data cut-off,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",18,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",19-22,Forecast time in units defined by octet 18,(see Note 2),111,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",23,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",24,Scale factor of first fixed surface,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",25-28,Scaled value of first fixed surface,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",29,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",30,Scale factor of second fixed surface,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",31-34,Scaled value of second fixed surface,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",35,Type of ensemble forecast,(see Code table 4.6),,4.6,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",36-39,Perturbation number,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",40-43,Number of forecasts in ensemble,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",44-45,Year of end of overall time interval,,,,,Operational
