Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",12,Tile classification,(see Code table 4.242),,4.242,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",13-14,Type of tile,(see Code table 4.252),,4.252,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",15,Number of used spatial tiles,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",16,Number of used tile attribute combinations for type of tile,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",17,Number of used tile attributes for tile attribute combination (NUTAFTAC),,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"Repeat the following octet for each attribute of tile (n=1,NUTAFTAC)",,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",18 + (n-1),Attribute of tile,(see Code table 4.241),,2.241,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,End of repetition,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",19 + (NUTAFTAC-1),Total number of tile attribute combinations,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",20 + (NUTAFTAC-1),Tile index,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",21 + (NUTAFTAC-1) - 36 + (NUTAFTAC-1),UUID of data group,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",37 + (NUTAFTAC-1),Type of generating process,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",38 + (NUTAFTAC-1),Background process,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",39 + (NUTAFTAC-1),Generating process identifier,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",40 + (NUTAFTAC-1) - 41 + (NUTAFTAC-1),Hours after data cut-off,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",42 + (NUTAFTAC-1),Minutes after data cut-off,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",43 + (NUTAFTAC-1),Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",44 + (NUTAFTAC-1) - 47 + (NUTAFTAC-1),Forecast time,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",48 + (NUTAFTAC-1),Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",49 + (NUTAFTAC-1),Scale factor of first fixed surface,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",50 + (NUTAFTAC-1) - 53 + (NUTAFTAC-1),Scaled value of first fixed surface,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",54 + (NUTAFTAC-1),Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",55 + (NUTAFTAC-1),Scale factor of second fixed surface,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",56 + (NUTAFTAC-1) - 59 + (NUTAFTAC-1),Scaled value of second fixed surface,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",60 + (NUTAFTAC-1) - 61 + (NUTAFTAC-1),Year of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",62 + (NUTAFTAC-1),Month of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",63 + (NUTAFTAC-1),Day of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",64 + (NUTAFTAC-1),Hour of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",65 + (NUTAFTAC-1),Minute of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",66 + (NUTAFTAC-1),Second of end of overall time interval,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",67 + (NUTAFTAC-1),Number of time range,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",68 + (NUTAFTAC-1) - 71 + (NUTAFTAC-1),Number of missing in statistical process,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",72 + (NUTAFTAC-1),Type of statistical processing,(see Code table 4.10),,4.10,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",73 + (NUTAFTAC-1),Type of time increment,(see Code table 4.11),,4.11,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",74 + (NUTAFTAC-1),Indicator of unit for time range,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",75 + (NUTAFTAC-1) - 78 + (NUTAFTAC-1),Length of time range,,,,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",79 + (NUTAFTAC-1),Indicator of unit for time increment,(see Code table 4.4),,4.4,,Operational
"Average, accumulation, and/or extreme values or other statistically processed values on generalised tiles at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",80 + (NUTAFTAC-1) - 83 + (NUTAFTAC-1),Time increment,,,,,Operational
