Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Lambert azimuthal equal area projection,15,1,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
Lambert azimuthal equal area projection,16,1,Scale factor of radius of spherical Earth,,,,,Operational
Lambert azimuthal equal area projection,17-20,4,Scaled value of radius of spherical Earth,,,,,Operational
Lambert azimuthal equal area projection,21,1,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
Lambert azimuthal equal area projection,22-25,4,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
Lambert azimuthal equal area projection,26,1,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
Lambert azimuthal equal area projection,27-30,4,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
Lambert azimuthal equal area projection,31-34,4,Nx - number of points along the x-axis,,,,,Operational
Lambert azimuthal equal area projection,35-38,4,Ny - number of points along the y-axis,,,,,Operational
Lambert azimuthal equal area projection,39-42,4,La1 - latitude of first grid point,,,,,Operational
Lambert azimuthal equal area projection,43-46,4,Lo1 - longitude of first grid point,,,,,Operational
Lambert azimuthal equal area projection,47-50,4,Standard parallel,,,,,Operational
Lambert azimuthal equal area projection,51-54,4,Central longitude,,,,,Operational
Lambert azimuthal equal area projection,55,1,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
Lambert azimuthal equal area projection,56-59,4,Dx - x-direction grid length,(see Note),29,,,Operational
Lambert azimuthal equal area projection,60-63,4,Dy - y-direction grid length,(see Note),29,,,Operational
Lambert azimuthal equal area projection,64,1,Scanning mode,(see Flag table 3.4),,,,Operational
