Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",10,Parameter category,(see Code table 4.1),,4.1,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",11,Parameter number,(see Code table 4.2),,4.2,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",12,Type of generating process,(see Code table 4.3),,4.3,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",13,Background generating process identifier (defined by originating centre),,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",14,Analysis or forecast generating process identifier (defined by originating centre),,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",15-16,Hours of observational data cut-off after reference time,(see Note 1),33,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",17,Minutes of observational data cut-off after reference time,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",18,Indicator of unit of time range,(see Code table 4.4),,4.4,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",19-22,Forecast time in units defined by previous octet,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",23,Type of first fixed surface,(see Code table 4.5),,4.5,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",24,Scale factor of first fixed surface,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",25-28,Scaled value of first fixed surface,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",29,Type of second fixed surface,(see Code table 4.5),,4.5,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",30,Scale factor of second fixed surface,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",31-34,Scaled value of second fixed surface,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",35,Forecast probability number,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",36,Total number of forecast probabilities,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",37,Probability type,(see Code table 4.9),,4.9,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",38,Scale factor of lower limit,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",39 - 42,Scaled value of lower limit,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",43,Scale factor of lower limit,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",44 - 47,Scaled value of lower limit,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",48,Type of reference dataset,(see Code table 4.100),,4.100,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",49,Type of relation to reference dataset,(see Code table 4.101),,4.101,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",50,Number of additional parameter for reference period - NA,(see Note 2),164,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",,The next two entries are repeated NA times na=0:NA - can be 0 times if no parameters are necessary,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",51+(na-1)*5,Scale factor of additional parameter for reference period,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",(52+(na-1)*5)-(55+(na-1)*5),Scaled value of additional parameter for reference period,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",,End of repeated NA sequence,,,,,Operational
"Anomalies, significance and other derived products as probability forecasts in relation to a reference period at a horizontal level or in a horizontal layer at a point in time",(51+NA*5)-(52+NA*5),Year of start of reference period,,,,,Operational
