Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",0,,Reserved,,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",1,,Downburst,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",2,,Lightning (electrical storm),,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",3,,Thunderstorm,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",4,,Coastal flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",5,,Estuarine (coastal) flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",6,,Flash flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",7,,Fluvial (riverine) flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",8,,Groundwater flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",9,,Ice-jam flood including debris,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",10,,Ponding (drainage) flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",11,,Snowmelt flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",12,,Surface water flooding,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",13,,Glacial lake outburst flood,,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",14,,Black carbon (brown clouds),,,[Code table 4.253],Operational
Parameter number by product discipline and parameter category,"Product discipline 20 - Health and socioeconomic impacts, parameter category 4: Meteorological and hydrological hazard indices",15,,Dust storm or sandstorm,,,[Code table 4.253],Operational
