row #,noteID,note,template,octet,noteAppliesTo,noteID-PDF,noteGitHub,myComment
1002,122,The year can be recovered with the formula: Year (real/decoded) = Year + 10 000 x Offset,GRIB2_Template_1_1_IdentificationTemplate_en,unspecified,template,1,n/a,
1003,139,"Years before year 1 shall be coded as defined in ISO 8601 (year 1 is followed by year 0). If applicable, year -1 or before shall be indicated by setting the most significant bit of octets 13-14 and 24-25 to ""1"" in accordance with Regulation 92.1.5.",GRIB2_Template_1_1_IdentificationTemplate_en,unspecified,template,2,n/a,
1005,122,The year can be recovered with the formula: Year (real/decoded) = Year + 10 000 x Offset,GRIB2_Template_1_2_IdentificationTemplate_en,unspecified,template,1,n/a,
1006,139,"Years before year 1 shall be coded as defined in ISO 8601 (year 1 is followed by year 0). If applicable, year -1 or before shall be indicated by setting the most significant bit of octets 13-14 and 24-25 to ""1"" in accordance with Regulation 92.1.5.",GRIB2_Template_1_2_IdentificationTemplate_en,unspecified,template,2,n/a,
1008,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,39-42,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1009,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,43-46,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1010,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,47-50,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1012,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,56-59,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1013,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,60-63,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1014,9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,64-67,octet,1,(see Notes 1 and 5),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
