noteID,note,association
0,,"[[0.0,noNotes],[1.1,noNotes],[1.2,noNotes],[1.3,noNotes],[1.5,noNotes],[3.10,noNotes],[3.20,noNotes],[3.21,noNotes],[3.25,noNotes],[3.3,noNotes],[3.5,noNotes],[3.8,noNotes],[3.9,noNotes],[4.0,noNotes],[4.1.1,noNotes],[4.1.10,noNotes],[4.1.2,noNotes],[4.1.4,noNotes],[4.12,noNotes],[4.13,noNotes],[4.14,noNotes],[4.2.0.14,noNotes],[4.2.0.15,noNotes],[4.2.0.190,noNotes],[4.2.0.191,noNotes],[4.2.0.3,noNotes],[4.2.0.7,noNotes],[4.2.1.1,noNotes],[4.2.1.2,noNotes],[4.2.10.1,noNotes],[4.2.10.191,noNotes],[4.2.20.1,noNotes],[4.2.20.2,noNotes],[4.2.3.0,noNotes],[4.2.3.3,noNotes],[4.2.3.4,noNotes],[4.2.4.0,noNotes],[4.2.4.1,noNotes],[4.2.4.10,noNotes],[4.2.4.2,noNotes],[4.2.4.3,noNotes],[4.2.4.4,noNotes],[4.2.4.5,noNotes],[4.2.4.6,noNotes],[4.2.4.7,noNotes],[4.2.4.8,noNotes],[4.2.4.9,noNotes],[4.201,noNotes],[4.202,noNotes],[4.204,noNotes],[4.205,noNotes],[4.206,noNotes],[4.207,noNotes],[4.208,noNotes],[4.209,noNotes],[4.210,noNotes],[4.211,noNotes],[4.212,noNotes],[4.213,noNotes],[4.214,noNotes],[4.215,noNotes],[4.216,noNotes],[4.217,noNotes],[4.218,noNotes],[4.219,noNotes],[4.220,noNotes],[4.221,noNotes],[4.222,noNotes],[4.223,noNotes],[4.224,noNotes],[4.225,noNotes],[4.227,noNotes],[4.228,noNotes],[4.230,noNotes],[4.233,noNotes],[4.234,noNotes],[4.236,noNotes],[4.238,noNotes],[4.241,noNotes],[4.242,noNotes],[4.243,noNotes],[4.244,noNotes],[4.246,noNotes],[4.247,noNotes],[4.248,noNotes],[4.249,noNotes],[4.6,noNotes],[4.8,noNotes],[4.91,noNotes],[5.0,noNotes],[5.1,noNotes],[5.2,noNotes],[5.25,noNotes],[5.26,noNotes],[5.3,noNotes],[5.4,noNotes],[5.40,noNotes],[5.5,noNotes],[5.6,noNotes],[5.60,noNotes],[5.7,noNotes]]"
1,Parameter deprecated. See Regulation 92.6.2 and use another parameter instead.,"[[4.2.0.0,14],[4.2.0.1,12],[4.2.0.1,27],[4.2.0.1,28],[4.2.0.1,7],[4.2.0.19,17],[4.2.0.2,21],[4.2.0.4,0],[4.2.0.4,1],[4.2.0.4,2],[4.2.0.5,0],[4.2.0.5,1],[4.2.0.5,2],[4.2.2.0,10],[4.2.2.0,17],[4.2.2.0,3],[4.2.2.3,1],[4.2.2.3,2],[4.2.2.3,3],[4.2.2.3,4]]"
2,Statistical process 1 (Accumulation) does not change units. It is recommended to use another parameter with “rate” in its name and accumulation in PDT.,"[[4.2.0.1,10],[4.2.0.1,13],[4.2.0.1,14],[4.2.0.1,15],[4.2.0.1,29],[4.2.0.1,47],[4.2.0.1,48],[4.2.0.1,49],[4.2.0.1,50],[4.2.0.1,8],[4.2.0.1,9]]"
3,"It is recommended not to use this parameter, but another one with a more descriptive unit.","[[4.2.2.0,9],[4.2.2.3,5],[4.2.2.3,7],[4.2.2.3,8],[4.2.2.3,9]]"
4,Parameter deprecated. Use another parameter in parameter category 1: moisture instead.,"[[4.2.0.6,17],[4.2.0.6,18],[4.2.0.6,19],[4.2.0.6,20],[4.2.0.6,23]]"
5,"FirstFixedSurface and SecondFixedSurface of Code table 4.5 (Fixed surface types and units) to define the vertical extent, i.e. FirstFixedSurface can be set to 1 (Ground or water surface) and SecondFixedSurface set to 7 (Tropopause) for a restriction to the troposphere.","[[4.2.0.20,1],[4.2.0.20,56],[4.2.0.20,58],[4.2.0.20,61]]"
6,Statistical process 1 (Accumulation) does not change units.,"[[4.2.0.2,37],[4.2.0.2,38],[4.2.2.0,33],[4.2.2.0,34]]"
7,"Above normal, near normal and below normal are defined as three equiprobable categories based on climatology at each point over the geographical area covered by the grid. The type and methodology of the reference climatology are unspecified and should be documented concurrently by the data producer.","[[4.9,6],[4.9,7],[4.9,8]]"
8,Parameter deprecated. Use another parameter in parameter category 3: soil products instead.,"[[4.2.2.0,2],[4.2.2.0,22],[4.2.2.0,23]]"
9,"Product definition templates that use Code Table 4.9 may contain octets to store the values of lower and upper limits. When categorical probability is used (such as below, near and above normal), these octets shall be set to “all ones” (missing).","[[4.9,6],[4.9,7],[4.9,8]]"
