noteID,note,Association
0,,"[[GRIB2_Template_3_13_GridDefinitionTemplate_en, noNotes], [GRIB2_Template_3_23_GridDefinitionTemplate_en, noNotes], [GRIB2_Template_3_33_GridDefinitionTemplate_en, noNotes], [GRIB2_Template_5_200_DataRepresentationTemplate_en, noNotes], [GRIB2_Template_7_4_DataTemplate_en, noNotes], [GRIB2_Template_7_42_DataTemplate_en, noNotes], [GRIB2_Template_7_53_DataTemplate_en, noNotes]]"
1,A data bin is a data point representing the volume centred on it.,"[GRIB2_Template_3_120_GridDefinitionTemplate_en, octet]"
2,"A group containing only missing values (of either type) will be encoded as a constant group (null width, no associated data) and the group reference will have all bits set to 1 for primary type, and all bits set to 1, except the last bit set to 0, for secondary type.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
3,"A logarithm pre-processing algorithm is used to fit the variability range into one or two order of magnitudes before using the simple packing algorithm. It requires a parameter (B) to assure that all values passed to the logarithm function arepositive. Thus scaled values are Z = ln (Y+B), where Y are the original values, ln is the natural logarithm (or Napierian)function and B is chosen so that Y+B > 0.","[GRIB2_Template_5_61_DataRepresentationTemplate_en, unspecified]"
4,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).","[[GRIB2_Template_3_0_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_1_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_10_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_2_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_3_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_40_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_41_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_42_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_43_GridDefinitionTemplate_en, octet]]"
5,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.","[[GRIB2_Template_3_0_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_10_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_1000_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_110_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_1100_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_20_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_30_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_31_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_4_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_40_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_90_GridDefinitionTemplate_en, unspecified]]"
6,A single partition with code value PN from the partition set composed by the NP partitions is represented in the template. The code values of the NP partitions are expressed in octets 14 to 14+2NP-1. The NP partitions are linked by the normalization formula stating that the sum of all the NP partitions must be equal to a normalization term (N) on each point of the grid.,"[[GRIB2_Template_4_53_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_54_ProductDefinitionTemplate_en, octet]]"
7,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by rain gauge.","[[GRIB2_Template_4_10_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1001_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_11_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1101_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_12_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_13_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_14_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_34_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_42_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_43_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_46_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_47_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_61_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_78_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_79_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_8_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_82_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_83_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_84_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_85_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_87_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_9_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_91_ProductDefinitionTemplate_en, octet]]"
8,"As an extra option, substitute value(s) for missing data may be specified. If not wished (or not applicable), all bits should be set to 1 for relevant substitute value(s).","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).","[[GRIB2_Template_3_0_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_1_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_1000_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_1100_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_2_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_3_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_4_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_40_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_41_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_42_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_43_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_5_GridDefinitionTemplate_en, octet]]"
