noteID,note
1,A data bin is a data point representing the volume centred on it.
2,"A group containing only missing values (of either type) will be encoded as a constant group (null width, no associated data) and the group reference will have all bits set to 1 for primary type, and all bits set to 1, except the last bit set to 0, for secondary type."
3,"A logarithm pre-processing algorithm is used to fit the variability range into one or two order of magnitudes before using the simple packing algorithm. It requires a parameter (B) to assure that all values passed to the logarithm function arepositive. Thus scaled values are Z = ln (Y+B), where Y are the original values, ln is the natural logarithm (or Napierian)function and B is chosen so that Y+B > 0."
4,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude)."
5,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres."
6,A single partition with code value PN from the partition set composed by the NP partitions is represented in the template. The code values of the NP partitions are expressed in octets 14 to 14+2NP-1. The NP partitions are linked by the normalization formula stating that the sum of all the NP partitions must be equal to a normalization term (N) on each point of the grid.
7,"An increment of zero means that the statistical processing is the result of a continuous (or near-continuous) process, not the processing of a number of discrete samples. Examples of such continuous processes are the temperatures measured by analogue maximum and minimum thermometers or thermographs, and the rainfall measured by a rain gauge."
8,"As an extra option, substitute value(s) for missing data may be specified. If not wished (or not applicable), all bits should be set to 1 for relevant substitute value(s)."
9,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit)."
10,"Best practice follows for choosing the B pre-processing parameter.(a) If the data set minimum value is positive, B can be safely put to zero.(b) If the data set minimum is zero, all values must be scaled to become greater than zero and B can be equal to the minimum positive value in the data set."
11,Bit 2 of the projection flag is not applicable to the polar stereographic projection.
12,Data shall be packed using data template 7.
13,"Extra descriptors related to spatial differencing are added before the splitting descriptors, to reflect the separation between the two approaches. It enables to share software parts between cases with and without spatial differencing."
14,"For ""satellite series of band nb"", ""satellite numbers of band nb"" and ""instrument types of band nb"", it is recommended to encode the values as per BUFR Code tables 0 02 020, 0 01 007 (Common Code table C-5) and 0 02 019 (Common Code table C-8), respectively."
15,"For data on a quasi-regular grid, where all the rows or columns do not necessarily have the same number of grid points, either Ni (octets 31-34) or Nj (octets 35-38) and the corresponding Di (octets 64-67) or Dj (octets 68-71) shall be coded with all bits set to 1 (missing). The actual number of points along each parallel or meridian shall be coded in the octets immediately following the grid definition template (octets [xx+1]-nn), as described in the description of the grid definition section"
16,"For differencing of order n, the first n values in the array that are not missing are set to zero in the packed array. These dummy values are not used in unpacking."
17,"For groups with a constant value, associated field width is 0, and no incremental data are physically present."
18,"For more details, see Part B, GRIB Attachment I."
19,"For more information, see Part B, GRIB Attachment III."
20,"For more information, see Part B, GRIB Attachment IV."
21,"For most templates, details of the packing process are described in Regulation 92.9.4."
22,"For orthographic view from infinite distance, the value of Nr should be encoded as missing (all bits set to 1)."
23,"For row by row packing with a bit-map, there should always be as many groups as rows. In case of rows with only missing values, all associated descriptors should be coded as zero."
24,"For simplicity, image data should be packed specifying a single component (i.e. greyscale image) instead of a multicomponent colour image."
25,"For some spectral representations, the (0.0) coefficient represents the mean value of the parameter represented."
